temperature;top_p;prompt;n_services;services
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.01;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.01;zero_shot;7;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP, Databaseconn
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, smtplib
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.01;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, smtplib
0;0.01;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.15;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net API, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.15;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net API, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.15;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net API, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.15;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP
0;0.5;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Nominatim, SMTP
0;0.5;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net API, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.5;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.5;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.5;zero_shot;7;Twilio, smtplib, googleapiclient, authorizenet, OpenCageGeocode, geopy, DataUpdate
0;0.5;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.5;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.5;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;0.5;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, PrettyTable, Faker
0;0.5;zero_shot;8;Twilio, smtplib, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, PrettyTable, Faker
0;1;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP (Gmail)
0;1;zero_shot;6;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP
0;1;zero_shot;7;Twilio, smtplib, googleapiclient, authorizenet, OpenCageGeocode, geopy, DataUpdate
0;1;zero_shot;8;Twilio, Google Calendar API, Authorize.Net, OpenCage Geocode, Geopy, SMTP, PrettyTable, Faker
0;1;zero_shot;7;Twilio, Google Calendar API, Authorize.net, OpenCage Geocode, Geopy, SMTP, DatabaseConn
0;1;zero_shot;7;Twilio, smtplib, googleapiclient, authorizenet, OpenCageGeocode, geopy, DataUpdate
