temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.01;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.01;zero_shot;1;Neo4j;['Neo4j']
0;0.01;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.15;zero_shot;1;Neo4j;['Neo4j']
0;0.15;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.15;zero_shot;1;Neo4j;['Neo4j']
0;0.15;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.15;zero_shot;1;Neo4j;['Neo4j']
0;0.15;zero_shot;1;Neo4j;['Neo4j']
0;0.15;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.15;zero_shot;1;Neo4j;['Neo4j']
0;0.15;zero_shot;1;Neo4j;['Neo4j']
0;0.15;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.5;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;0.5;zero_shot;1;Neo4j;['Neo4j']
0;1;zero_shot;1;Neo4j;['Neo4j']
0;1;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
0;1;zero_shot;1;Neo4j;['Neo4j']
0;1;zero_shot;2;Databases and services:,Neo4j;['Databases and services:', 'Neo4j']
