temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;1;sqlite;['sqlite']
0;0.01;zero_shot;2;sqlite, duckling;['sqlite', ' duckling']
0;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.01;zero_shot;1;sqlite;['sqlite']
0;0.01;zero_shot;4;sqlite, duckling, spacy, DIET;['sqlite', ' duckling', ' spacy', ' DIET']
0;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.01;zero_shot;2;sqlite, sqlalchemy;['sqlite', ' sqlalchemy']
0;0.01;zero_shot;2;sqlite, duckling;['sqlite', ' duckling']
0;0.15;zero_shot;1;sqlite;['sqlite']
0;0.15;zero_shot;1;sqlite;['sqlite']
0;0.15;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.15;zero_shot;1;sqlite;['sqlite']
0;0.15;zero_shot;2;sqlite, sqlalchemy;['sqlite', ' sqlalchemy']
0;0.15;zero_shot;1;sqlite;['sqlite']
0;0.15;zero_shot;1;sqlite;['sqlite']
0;0.15;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.15;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;0.15;zero_shot;3;Databases and services:,ProfileDB, sqlalchemy;['Databases and services:', 'ProfileDB', ' sqlalchemy']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;4;sqlite, duckling, spacy, DIET;['sqlite', ' duckling', ' spacy', ' DIET']
0;0.5;zero_shot;2;sqlite, duckling;['sqlite', ' duckling']
0;0.5;zero_shot;1;sqlite;['sqlite']
0;0.5;zero_shot;3;Databases and services: ProfileDB, sqlalchemy, duckling;['Databases and services: ProfileDB', ' sqlalchemy', ' duckling']
0;1;zero_shot;1;sqlite;['sqlite']
0;1;zero_shot;1;sqlite;['sqlite']
0;1;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;1;zero_shot;1;sqlite;['sqlite']
0;1;zero_shot;1;sqlite;['sqlite']
0;1;zero_shot;1;sqlite;['sqlite']
0;1;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;1;zero_shot;2;Databases and services:,ProfileDB;['Databases and services:', 'ProfileDB']
0;1;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0;1;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0.25;0.01;zero_shot;1;sqlite;['sqlite']
0.25;0.01;zero_shot;1;sqlite;['sqlite']
0.25;0.01;zero_shot;2;sqlite, duckling;['sqlite', ' duckling']
0.25;0.01;zero_shot;2;sqlite, duckling;['sqlite', ' duckling']
0.25;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0.25;0.01;zero_shot;1;sqlite;['sqlite']
0.25;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
0.25;0.01;zero_shot;2;sqlite, ProfileDB;['sqlite', ' ProfileDB']
