temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.01;zero_shot;1;sqlite3;['sqlite3']
0;0.01;zero_shot;1;sqlite3;['sqlite3']
0;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.01;zero_shot;1;sqlite3;['sqlite3']
0;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.01;zero_shot;1;sqlite3;['sqlite3']
0;0.01;zero_shot;1;sqlite3;['sqlite3']
0;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.15;zero_shot;1;sqlite3;['sqlite3']
0;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.15;zero_shot;1;sqlite3;['sqlite3']
0;0.15;zero_shot;1;sqlite3;['sqlite3']
0;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.15;zero_shot;1;sqlite3;['sqlite3']
0;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.5;zero_shot;1;sqlite3;['sqlite3']
0;0.5;zero_shot;1;sqlite3;['sqlite3']
0;0.5;zero_shot;1;sqlite3;['sqlite3']
0;0.5;zero_shot;1;sqlite3;['sqlite3']
0;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;0.5;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0;0.5;zero_shot;1;sqlite3;['sqlite3']
0;0.5;zero_shot;1;sqlite3;['sqlite3']
0;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;1;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;1;zero_shot;1;sqlite3;['sqlite3']
0;1;zero_shot;1;sqlite3;['sqlite3']
0;1;zero_shot;1;sqlite3;['sqlite3']
0;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;1;sqlite3;['sqlite3']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;1;sqlite3;['sqlite3']
0.25;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.01;zero_shot;1;sqlite3;['sqlite3']
0.25;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.15;zero_shot;1;sqlite3;['sqlite3']
0.25;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.15;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0.25;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.15;zero_shot;1;sqlite3;['sqlite3']
0.25;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.15;zero_shot;1;sqlite3;['sqlite3']
0.25;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.5;zero_shot;1;sqlite3;['sqlite3']
0.25;0.5;zero_shot;1;sqlite3;['sqlite3']
0.25;0.5;zero_shot;1;sqlite3;['sqlite3']
0.25;0.5;zero_shot;1;sqlite3;['sqlite3']
0.25;0.5;zero_shot;1;sqlite3;['sqlite3']
0.25;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;0.5;zero_shot;2;Databases and services:,sqlite3;['Databases and services:', 'sqlite3']
0.25;0.5;zero_shot;1;sqlite3;['sqlite3']
0.25;1;zero_shot;1;sqlite3;['sqlite3']
0.25;1;zero_shot;5;Databases and services:,sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['Databases and services:', 'sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;1;zero_shot;1;sqlite3;['sqlite3']
0.25;1;zero_shot;5;Databases and services:,sqlite3,https://www.regal.fr,https://www.economie.gouv.fr,https://www.osmozbistro.com;['Databases and services:', 'sqlite3', 'https://www.regal.fr', 'https://www.economie.gouv.fr', 'https://www.osmozbistro.com']
0.25;1;zero_shot;2;Databases and services:,sqlite3;['Databases and services:', 'sqlite3']
0.25;1;zero_shot;1;sqlite3;['sqlite3']
0.25;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.25;1;zero_shot;1;sqlite3;['sqlite3']
0.25;1;zero_shot;1;sqlite3;['sqlite3']
0.25;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.01;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.01;zero_shot;1;sqlite3;['sqlite3']
0.5;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.15;zero_shot;2;Databases and services:,sqlite3;['Databases and services:', 'sqlite3']
0.5;0.15;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0.5;0.15;zero_shot;1;sqlite3;['sqlite3']
0.5;0.15;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0.5;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.15;zero_shot;1;sqlite3;['sqlite3']
0.5;0.15;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0.5;0.15;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.5;zero_shot;5;Databases and services:,sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['Databases and services:', 'sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.5;zero_shot;5;Databases and services:,sqlite3,https://www.regal.fr,https://www.economie.gouv.fr,https://www.osmozbistro.com;['Databases and services:', 'sqlite3', 'https://www.regal.fr', 'https://www.economie.gouv.fr', 'https://www.osmozbistro.com']
0.5;0.5;zero_shot;2;Databases and services:,sqlite3;['Databases and services:', 'sqlite3']
0.5;0.5;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0.5;0.5;zero_shot;1;sqlite3;['sqlite3']
0.5;0.5;zero_shot;1;sqlite3;['sqlite3']
0.5;0.5;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
0.5;0.5;zero_shot;4;sqlite3,https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354,https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire,https://www.osmozbistro.com/la-carte/;['sqlite3', 'https://www.regal.fr/recettes/legumes/croquettes-de-legumes-au-zaatar-et-houmous-de-petits-pois-17354', 'https://www.economie.gouv.fr/dgccrf/Publications/Vie-pratique/Fiches-pratiques/Allergene-alimentaire', 'https://www.osmozbistro.com/la-carte/']
0.5;0.5;zero_shot;2;Databases and services:,sqlite3;['Databases and services:', 'sqlite3']
0.5;1;zero_shot;1;sqlite3;['sqlite3']
0.5;1;zero_shot;4;sqlite3, https://www.regal.fr, https://www.economie.gouv.fr, https://www.osmozbistro.com;['sqlite3', ' https://www.regal.fr', ' https://www.economie.gouv.fr', ' https://www.osmozbistro.com']
