temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.01;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.15;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0;1;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.15;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;0.5;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.25;1;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.01;zero_shot;0;[];
0.5;0.15;zero_shot;0;[];
