temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.01;zero_shot;2;restaurants.csv, OpenAI API;['restaurants.csv', ' OpenAI API']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;3;Databases and services:,- restaurants.csv,- api.openai.com;['Databases and services:', '- restaurants.csv', '- api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.15;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
0;0.5;zero_shot;2;restaurants.csv, api.openai.com;['restaurants.csv', ' api.openai.com']
