temperature;top_p;prompt;n_services;services;services_list
0;0.01;zero_shot;4;Databases and services:,local file system, pandas, joblib;['Databases and services:', 'local file system', ' pandas', ' joblib']
0;0.01;zero_shot;2;pandas, joblib;['pandas', ' joblib']
0;0.01;zero_shot;3;Databases and services:,- Local JSON files,- joblib;['Databases and services:', '- Local JSON files', '- joblib']
0;0.01;zero_shot;4;Databases and services:,local file system, pandas, joblib;['Databases and services:', 'local file system', ' pandas', ' joblib']
0;0.01;zero_shot;4;Databases and services:,- local JSON files,- pandas,- joblib;['Databases and services:', '- local JSON files', '- pandas', '- joblib']
0;0.01;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.01;zero_shot;4;Databases and services:,- Local JSON files,- Pandas,- Joblib;['Databases and services:', '- Local JSON files', '- Pandas', '- Joblib']
0;0.01;zero_shot;4;Databases and services:,- local JSON files,- pandas,- joblib;['Databases and services:', '- local JSON files', '- pandas', '- joblib']
0;0.01;zero_shot;2;local file system, joblib;['local file system', ' joblib']
0;0.01;zero_shot;3;Databases and services:,local file system, joblib;['Databases and services:', 'local file system', ' joblib']
0;0.15;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.15;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0;0.15;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.15;zero_shot;2;local file system, joblib;['local file system', ' joblib']
0;0.15;zero_shot;1;local file system;['local file system']
0;0.15;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.15;zero_shot;1;local file system;['local file system']
0;0.15;zero_shot;3;local JSON files, pandas, joblib;['local JSON files', ' pandas', ' joblib']
0;0.15;zero_shot;2;local file system, joblib;['local file system', ' joblib']
0;0.15;zero_shot;1;local file system;['local file system']
0;0.5;zero_shot;0;[];
0;0.5;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.5;zero_shot;2;local file system, joblib;['local file system', ' joblib']
0;0.5;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.5;zero_shot;3;Databases and services:,local file system, joblib;['Databases and services:', 'local file system', ' joblib']
0;0.5;zero_shot;4;Databases and services:,- Local JSON files,- Local CSV files,- Joblib;['Databases and services:', '- Local JSON files', '- Local CSV files', '- Joblib']
0;0.5;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0;0.5;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;0.5;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0;0.5;zero_shot;1;local file system;['local file system']
0;1;zero_shot;1;local file system;['local file system']
0;1;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;1;zero_shot;1;local file system;['local file system']
0;1;zero_shot;3;Databases and services:,local file system, joblib;['Databases and services:', 'local file system', ' joblib']
0;1;zero_shot;1;local file system;['local file system']
0;1;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;1;zero_shot;1;local file system;['local file system']
0;1;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0;1;zero_shot;4;Databases and services:,local file system, pandas, joblib;['Databases and services:', 'local file system', ' pandas', ' joblib']
0;1;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.01;zero_shot;1;local file system;['local file system']
0.25;0.01;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0.25;0.01;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0.25;0.01;zero_shot;4;Databases and services:,local file system, pandas, joblib;['Databases and services:', 'local file system', ' pandas', ' joblib']
0.25;0.01;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.01;zero_shot;0;[];
0.25;0.01;zero_shot;3;Databases and services:,- Local JSON files,- joblib;['Databases and services:', '- Local JSON files', '- joblib']
0.25;0.01;zero_shot;1;local file system;['local file system']
0.25;0.01;zero_shot;3;local JSON files, pandas, joblib;['local JSON files', ' pandas', ' joblib']
0.25;0.01;zero_shot;4;Databases and services:,local file system, joblib, pandas;['Databases and services:', 'local file system', ' joblib', ' pandas']
0.25;0.15;zero_shot;3;Databases and services:,local file system, joblib;['Databases and services:', 'local file system', ' joblib']
0.25;0.15;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0.25;0.15;zero_shot;4;Databases and services:,- local JSON files,- pandas,- joblib;['Databases and services:', '- local JSON files', '- pandas', '- joblib']
0.25;0.15;zero_shot;3;Databases and services:,local file system, joblib;['Databases and services:', 'local file system', ' joblib']
0.25;0.15;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.15;zero_shot;1;local file system;['local file system']
0.25;0.15;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0.25;0.15;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.15;zero_shot;3;local file system, pandas, joblib;['local file system', ' pandas', ' joblib']
0.25;0.15;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.5;zero_shot;4;Databases and services:,- Local JSON files,- Local CSV files,- Joblib;['Databases and services:', '- Local JSON files', '- Local CSV files', '- Joblib']
0.25;0.5;zero_shot;4;Databases and services:,- local JSON files,- pandas,- joblib;['Databases and services:', '- local JSON files', '- pandas', '- joblib']
0.25;0.5;zero_shot;2;Databases and services:,local file system;['Databases and services:', 'local file system']
0.25;0.5;zero_shot;2;local file system, joblib;['local file system', ' joblib']
0.25;0.5;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.5;zero_shot;2;Local JSON files, joblib;['Local JSON files', ' joblib']
0.25;0.5;zero_shot;1;None;['None']
