id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
RasaHQ/rasa__data/test_domains;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;data/test_domains;['data/test_domains/duplicate_intents.yml', 'data/test_domains/restaurant_form.yml', 'data/test_domains/default_with_slots.yml', 'data/test_domains/missing_text_for_templates.yml', 'data/test_domains/wrong_custom_response_format.yml', 'data/test_domains/query_form.yml', 'data/test_domains/conditional_response_variations.yml', 'data/test_domains/default.yml', 'data/test_domains/travel_form.yml', 'data/test_domains/people_form.yml', 'data/test_domains/duplicate_actions.yml', 'data/test_domains/duplicate_entities.yml', 'data/test_domains/empty_response_format.yml', 'data/test_domains/initial_slot_values_greet_and_goodbye.yml', 'data/test_domains/default_retrieval_intents.yml', 'data/test_domains/mixed_retrieval_intents.yml', 'data/test_domains/duplicate_responses.yml', 'data/test_domains/wrong_response_format.yml', 'data/test_domains/valid_actions.yml', 'data/test_domains/simple_retrieval_intent.yml', 'data/test_domains/default_unfeaturized_entities.yml', 'data/test_domains/form.yml', 'data/test_domains/response_selector_responses_in_domain.yml', 'data/test_domains/minimal_domain_validate_files_with_active_loop_null.yml', 'data/test_domains/default_with_mapping.yml', 'data/test_domains/missing_chitchat_response.yml', 'data/test_domains/selectors.yml', 'data/test_domains/custom_slot_domain.yml'];28;[];0;[];0;['README.md'];1;[];0;['data/examples/rasa/demo-rasa-multi-intent.yml', 'data/examples/rasa/demo-rasa.json', 'data/examples/rasa/demo-rasa.yml', 'data/rasa_yaml_examples/nlu.yml', 'data/test_incremental_training/iter1/training_data.yml', 'data/test_incremental_training/iter2/training_data.yml', 'data/test_mixed_yaml_training_data/training_data.yml', 'data/test_multiline_intent_examples_yaml/nlu.yml', 'data/test_nlu/test_nlu_validate_files_with_active_loop_null.yml', 'data/test_nlu_no_responses/nlu_no_responses.yml', 'data/test_nlu_no_responses/nlu_with_unicode.yml', 'data/test_nlu_no_responses/sara_nlu_data.yml', 'data/test_number_nlu_examples/nlu.yml', 'data/test_selectors/nlu.yml', 'data/configs_for_docs/config_featurizers.yml', 'data/configs_for_docs/default_config.yml', 'data/configs_for_docs/default_english_config.yml', 'data/configs_for_docs/default_spacy_config.yml', 'data/configs_for_docs/example_for_suggested_config.yml', 'data/configs_for_docs/example_for_suggested_config_after_train.yml', 'data/configs_for_docs/pretrained_embeddings_convert_config.yml', 'data/configs_for_docs/pretrained_embeddings_mitie_config_1.yml', 'data/configs_for_docs/pretrained_embeddings_mitie_config_2.yml', 'data/configs_for_docs/pretrained_embeddings_spacy_config.yml', 'data/configs_for_docs/supervised_embeddings_config.yml', 'data/examples/dialogflow/agent.json', 'data/test_config/config_crf_custom_features.yml', 'data/test_config/config_crf_no_pattern_feature.yml', 'data/test_config/config_crf_no_regex.yml', 'data/test_config/config_crf_no_synonyms.yml', 'data/test_config/config_default_assistant_id_value.yml', 'data/test_config/config_defaults.yml', 'data/test_config/config_embedding_intent_response_selector.yml', 'data/test_config/config_empty_en.yml', 'data/test_config/config_empty_en_after_dumping.yml', 'data/test_config/config_empty_en_after_dumping_core.yml', 'data/test_config/config_empty_en_after_dumping_nlu.yml', 'data/test_config/config_empty_fr.yml', 'data/test_config/config_empty_fr_after_dumping.yml', 'data/test_config/config_language_only.yml', 'data/test_config/config_no_assistant_id.yml', 'data/test_config/config_no_assistant_id_with_comments.yml', 'data/test_config/config_pipeline_empty.yml', 'data/test_config/config_pipeline_missing.yml', 'data/test_config/config_policies_empty.yml', 'data/test_config/config_policies_missing.yml', 'data/test_config/config_pretrained_embeddings_convert.yml', 'data/test_config/config_pretrained_embeddings_mitie.yml', 'data/test_config/config_pretrained_embeddings_mitie_2.yml', 'data/test_config/config_pretrained_embeddings_mitie_diet.yml', 'data/test_config/config_pretrained_embeddings_mitie_zh.yml', 'data/test_config/config_pretrained_embeddings_spacy.yml', 'data/test_config/config_pretrained_embeddings_spacy_de.yml', 'data/test_config/config_pretrained_embeddings_spacy_duckling.yml', 'data/test_config/config_response_selector_minimal.yml', 'data/test_config/config_spacy_entity_extractor.yml', 'data/test_config/config_supervised_embeddings.yml', 'data/test_config/config_supervised_embeddings_duckling.yml', 'data/test_config/config_ted_policy_model_checkpointing.yml', 'data/test_config/config_ted_policy_model_checkpointing_zero_eval_num_examples.yml', 'data/test_config/config_ted_policy_model_checkpointing_zero_every_num_epochs.yml', 'data/test_config/config_ted_policy_no_model_checkpointing.yml', 'data/test_config/config_train_server_json.yml', 'data/test_config/config_train_server_md.yml', 'data/test_config/config_unique_assistant_id.yml', 'data/test_config/config_with_comment_between_suggestions.yml', 'data/test_config/config_with_comments.yml', 'data/test_config/config_with_comments_after_dumping.yml', 'data/test_config/graph_config.yml', 'data/test_config/graph_config_short.yml', 'data/test_config/stack_config.yml', 'data/test_config/test_moodbot_config_no_assistant_id.yml', 'data/README.md']
RasaHQ/rasa__data/test_domains/test_domain_without_duplicates;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;data/test_domains/test_domain_without_duplicates;['data/test_domains/test_domain_without_duplicates/domain2.yml', 'data/test_domains/test_domain_without_duplicates/domain1.yml'];2;[];0;[];0;['README.md'];1;[];0;[]
RasaHQ/rasa__data/test_domains/test_domain_from_multiple_files;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;data/test_domains/test_domain_from_multiple_files;['data/test_domains/test_domain_from_multiple_files/selection.yml', 'data/test_domains/test_domain_from_multiple_files/wallets.yml', 'data/test_domains/test_domain_from_multiple_files/drum.yml', 'data/test_domains/test_domain_from_multiple_files/small_talk.yml', 'data/test_domains/test_domain_from_multiple_files/last_month.yml', 'data/test_domains/test_domain_from_multiple_files/main_menu.yml', 'data/test_domains/test_domain_from_multiple_files/tomorrow.yml'];7;[];0;[];0;['README.md'];1;[];0;[]
RasaHQ/rasa__data/test_domains/test_domain_with_duplicates;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;data/test_domains/test_domain_with_duplicates;['data/test_domains/test_domain_with_duplicates/domain1.yml', 'data/test_domains/test_domain_with_duplicates/domain2.yml'];2;[];0;[];0;['README.md'];1;[];0;[]
RasaHQ/rasa__data/test_domains/test_domain_from_directory_for_entities;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;data/test_domains/test_domain_from_directory_for_entities;['data/test_domains/test_domain_from_directory_for_entities/game_1.yml', 'data/test_domains/test_domain_from_directory_for_entities/game_2.yml', 'data/test_domains/test_domain_from_directory_for_entities/game_3.yml'];3;[];0;[];0;['README.md'];1;[];0;[]
RasaHQ/rasa-calm-demo__domain/nlu-based;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;2023-12-26T11:04:18Z;2025-01-07T11:49:09Z;2025-01-10T11:12:46Z;main;RasaHQ;21214473;Organization;79f664fa442abeb4ce8621f4151c2aab3631f902;2025-01-07T11:49:05Z;domain/nlu-based;['domain/nlu-based/restaurant.yml', 'domain/nlu-based/hotel_search.yml', 'domain/nlu-based/health_advice.yml'];3;['data/nlu-based/nlu.yml'];1;[];0;['README.md'];1;[];0;[]
RasaHQ/rasa-calm-demo__domain/flows;RasaHQ/rasa-calm-demo;https://github.com/RasaHQ/rasa-calm-demo;56;18;2023-12-26T11:04:18Z;2025-01-07T11:49:09Z;2025-01-10T11:12:46Z;main;RasaHQ;21214473;Organization;79f664fa442abeb4ce8621f4151c2aab3631f902;2025-01-07T11:49:05Z;domain/flows;['domain/flows/verify_account.yml', 'domain/flows/remove_contact.yml', 'domain/flows/replace_card.yml', 'domain/flows/add_contact.yml', 'domain/flows/order_pizza.yml', 'domain/flows/add_card.yml'];6;['data/flows/nlu.yml'];1;[];0;['README.md'];1;[];0;[]
Samupietila/AI-Chatbot__Chatbot/Backups;Samupietila/AI-Chatbot;https://github.com/Samupietila/AI-Chatbot;2;1;2024-09-02T10:22:48Z;2024-12-04T10:55:48Z;2024-12-04T10:55:45Z;main;Samupietila;122264320;User;0da01117b3cc0923d804e5189f4bd8a758542798;2024-12-04T10:55:45Z;Chatbot/Backups;['Chatbot/Backups/domain_all.yml', 'Chatbot/Backups/domain_backup.yml'];2;[];0;[];0;['README.md'];1;[];0;[]
ashwani90/rasa-setup__chat-templates/insurance;ashwani90/rasa-setup;https://github.com/ashwani90/rasa-setup;0;0;2024-09-15T18:50:01Z;2024-10-10T11:47:42Z;2024-10-10T11:47:38Z;main;ashwani90;31037806;User;b9c46309060af6a11c5795c795b2642b24fbe6fa;2024-10-10T11:47:29Z;chat-templates/insurance;['chat-templates/insurance/original_domain.yml', 'chat-templates/insurance/domain.yml'];2;['chat-templates/insurance/data/nlu.yml', 'chat-templates/insurance/data/state_lookup.yml'];2;['chat-templates/insurance/actions/actions.py'];1;['README.md'];1;[];0;[]
Deepam-Rai/helpdesk_chatbot__domain;Deepam-Rai/helpdesk_chatbot;https://github.com/Deepam-Rai/helpdesk_chatbot;0;0;2024-09-17T07:01:52Z;2024-09-30T15:08:07Z;2024-09-30T15:08:04Z;main;Deepam-Rai;78490078;User;ae3808824fd6525ab8502cf9ac301ee0c9a5cc91;2024-09-30T15:07:59Z;domain;['domain/domain_about.yml', 'domain/domain_main.yml'];2;['data/nlu/nlu.yml', 'data/nlu/nlu_about.yml', 'data/nlu/nlu_cancel.yml', 'data/nlu/nlu_user_ops.yml', 'data/nlu/staff_ops/nlu_misc.yml', 'data/nlu/staff_ops/nlu_show_user_details.yml'];6;['actions/utils/utils_database.py', 'actions/constants.py', 'actions/constants_database.py', 'actions/actions_main.py', 'actions/utils/utils.py', 'actions/utils/utils_environment.py'];6;['README.md'];1;['config.yml', 'config_2.yml'];2;[]
