full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent;last-commit;last-commit-date;domain-files;n-domain-files;domain-folders;n-domain-folders;nlu-files;n-nlu-files;n-nlu-yml;n-nlu-json;n-nlu-md;nlu-folders;n-nlu-folders;actions-files;n-actions-files;actions-folders;n-actions-folders;readme-files;n-readme-files
UdiitBansal/Leave-Enquiry;https://github.com/UdiitBansal/Leave-Enquiry;0;0;2024-09-28T18:01:59Z;2024-09-28T18:03:58Z;2024-09-28T18:03:55Z;main;UdiitBansal;122165704;User;False;;a0099eb317e79e1cca4e35cc33da3f699a97a2b7;2024-09-28T18:03:54Z;['domain (3).yml', 'domain (1).yml', 'domain (2).yml'];3;['.'];1;['nlu.yml'];1;1;0;0;['.'];1;[];0;[];0;['README.md'];1
lappis-unb/ej-bot;https://github.com/lappis-unb/ej-bot;0;0;2024-09-25T23:40:26Z;2024-09-25T23:42:34Z;2024-09-25T23:41:58Z;main;lappis-unb;29209446;Organization;False;;1d24b0e1561c03cac35ac0c98df6e5e7f6cba324;2024-09-12T12:50:02Z;['bot/domains/default.yml', 'bot/domains/bp.yml'];2;['bot/domains'];1;['bot/data/nlu.yml'];1;1;0;0;['bot/data'];1;['bot/actions/checkers/vote_actions_checkers.py', 'bot/tests/actions/test_utils.py', 'bot/tests/actions/test_profile.py', 'bot/tests/actions/test_commment.py', 'bot/tests/actions/test_conversation.py', 'bot/tests/actions/test_ej_api.py', 'bot/actions/vote_actions.py', 'bot/tests/actions/conftest.py', 'bot/actions/base_actions.py', 'bot/actions/checkers/api_error_checker.py', 'bot/actions/logger.py', 'bot/actions/custom_auth_actions.py', 'bot/actions/help_actions.py', 'bot/tests/actions/test_checkers.py', 'bot/actions/checkers/setup_actions_checkers.py', 'bot/tests/actions/test_user.py', 'bot/actions/comment_actions.py', 'bot/actions/setup_actions.py', 'bot/tests/actions/test_board.py', 'bot/actions/profile_actions.py', 'bot/actions/checkers/profile_actions_checkers.py'];21;['bot/actions/checkers', 'bot/tests/actions', 'bot/actions'];3;['README.md'];1
lappis-unb/participatory-bot;https://github.com/lappis-unb/participatory-bot;0;0;2024-09-25T23:37:09Z;2024-09-25T23:40:20Z;2024-09-25T23:40:16Z;main;lappis-unb;29209446;Organization;False;;893452279b91c239267a0071e96c099a7bcd857a;2024-04-07T22:32:02Z;['bot/domain.yml', 'bot/old-domain.yml'];2;['bot'];1;['bot/data/nlu-chitchat.yml', 'bot/data/nlu-participation.yml', 'bot/data/nlu-response-selectors.yml', 'bot/data/nlu.yml'];4;4;0;0;['bot/data'];1;['bot/actions/custom_action_example.py'];1;['bot/actions'];1;['README.md'];1
nikevelik/chatbot-NLP-RAG;https://github.com/nikevelik/chatbot-NLP-RAG;0;0;2024-09-15T16:50:55Z;2024-09-15T17:04:22Z;2024-09-15T17:04:19Z;main;nikevelik;29057052;User;False;;18cc6e8770b52be132320ff98e9c2f10d5a46155;2024-09-15T17:04:16Z;['nl/data/domain/domain_base.yml', 'nl/data/domain/domain_make_bot.yml'];2;['nl/data/domain'];1;['nl/data/nlu/intent_faq.yml', 'nl/data/nlu/nlu_base.yml', 'nl/data/nlu/nlu_make_bot.yml'];3;3;0;0;['nl/data/nlu'];1;['ac/actions/actions_base.py', 'ac/actions/classes.py', 'ac/actions/query_rag.py', 'ac/actions/actions_asnwer_with_llm.py', 'ac/actions/query_llm.py', 'ac/actions/actions_make_bot.py'];6;['ac/actions'];1;['README.md'];1
fasnaah/telegram_chatbot;https://github.com/fasnaah/telegram_chatbot;1;0;2024-07-01T07:03:03Z;2024-07-03T15:07:33Z;2024-07-01T14:11:31Z;main;fasnaah;173940923;User;False;;8897c3c93030b10cb0b73d46fafc2625afccbdc3;2024-07-01T14:11:31Z;['stories.yml', 'domain.yml'];2;['.'];1;['nlu.yml'];1;1;0;0;['.'];1;[];0;[];0;['README.md'];1
Deepam-Rai/social_media_chatbot;https://github.com/Deepam-Rai/social_media_chatbot;0;0;2024-03-26T09:21:55Z;2024-03-27T12:49:55Z;2024-03-30T17:53:58Z;main;Deepam-Rai;78490078;User;False;;6bcba6f338fb1b9b701d1cdbe2ba05681da0b4bf;2024-03-30T17:53:51Z;['domain/domain.yml', 'domain/domain_main_misc.yml'];2;['domain'];1;['data/nlu/nlu.yml', 'data/nlu/nlu_jokes.yml'];2;2;0;0;['data/nlu'];1;['actions/utils.py', 'actions/constants.py', 'actions/actions_misc.py'];3;['actions'];1;['README.md'];1
GerritChatbot/rasa_base;https://github.com/GerritChatbot/rasa_base;4;1;2023-04-01T11:13:49Z;2023-07-04T15:04:27Z;2024-02-18T19:40:33Z;main;GerritChatbot;129594534;Organization;False;;b91e1ac4ef52ddd456f435defe447bc4c312b457;2024-02-18T19:40:27Z;['domain/intents.yml', 'domain/healtcare.yml', 'domain/get_buddy.yml', 'domain/sim_card.yml', 'domain/ryanair.yml', 'domain/get_event.yml', 'domain/car_rental.yml', 'domain/social_media.yml', 'domain/buy_esn_card.yml', 'domain/accommodation.yml', 'domain/esn.yml', 'domain/eis.yml', 'domain/office_hours.yml', 'domain/esn_card_benefits.yml', 'domain/food_recommendation.yml'];15;['domain'];1;['data/nlu.yml'];1;1;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
MarcoCarraro-1/BetBot;https://github.com/MarcoCarraro-1/BetBot;0;0;2023-12-06T18:16:40Z;2023-12-06T18:21:57Z;2024-01-05T11:01:29Z;main;MarcoCarraro-1;71838678;User;False;;3993bafc393f6b870948bc21ec60306b68d6e433;2024-01-05T11:00:45Z;['domain.yml', 'domain-1.yml'];2;['.'];1;['data/nlu.yml', 'data/reload_amount_converted.yml'];2;2;0;0;['data'];1;['actions/actions.py'];1;['actions'];1;['README.md'];1
nvidia-riva/sample-apps;https://github.com/nvidia-riva/sample-apps;25;17;2022-04-15T00:14:27Z;2023-12-11T10:45:09Z;2024-12-12T11:34:44Z;main;nvidia-riva;93673946;Organization;False;;f3f31696bfc2aadb5d64ff5601d3f8fa0bdafd72;2022-09-28T16:17:33Z;['virtual-assistant-rasa/rasa-weatherbot/domain/domain_rasanlp.yml', 'virtual-assistant-rasa/rasa-weatherbot/domain/domain_rivanlp.yml'];2;['virtual-assistant-rasa/rasa-weatherbot/domain'];1;['virtual-assistant-rasa/rasa-weatherbot/data/nlu_rasanlp.yml', 'virtual-assistant-rasa/rasa-weatherbot/data/nlu_rivanlp.yml'];2;2;0;0;['virtual-assistant-rasa/rasa-weatherbot/data'];1;['virtual-assistant-rasa/rasa-weatherbot/actions/actions.py', 'virtual-assistant-rasa/rasa-weatherbot/actions/weather.py'];2;['virtual-assistant-rasa/rasa-weatherbot/actions'];1;['README.md', 'riva-contact/README.md', 'riva-contact/web/displacy-ent/README.md', 'virtual-assistant-dialogflow/README.md', 'virtual-assistant-dialogflow/dialogflow-riva-weatherbot-webapp/client/webapplication/ui/README.md', 'virtual-assistant-rasa/README.md', 'virtual-assistant-rasa/rasa-riva-weatherbot-webapp/client/webapplication/ui/README.md', 'virtual-assistant/README.md', 'virtual-assistant/client/webapplication/ui/README.md'];9
Chaimae-El-beqqal/rasa-project;https://github.com/Chaimae-El-beqqal/rasa-project;1;0;2023-08-20T16:53:14Z;2023-08-31T15:48:10Z;2023-09-18T19:33:41Z;master;Chaimae-El-beqqal;102841184;User;False;;1b68fb28f60b36992d9ddb9c7e2cfa677fba0802;2023-09-18T19:33:41Z;['domain.yml', 'output.yml'];2;['.'];1;['data/nlu.yml', 'output.yml'];2;2;0;0;['data', '.'];2;[];0;[];0;['README.md'];1
