full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent;last-commit;domain-files
BaoPham76/AI_Chatbot;https://github.com/BaoPham76/AI_Chatbot;0;0;2024-11-09T03:28:34Z;2024-12-25T00:41:15Z;2024-12-25T00:41:09Z;main;BaoPham76;102724427;User;False;;4aff7666e17005b98a04b21dabbe9f0adfa52422;[]
AvinashReddyKatha/Rasa-Demo;https://github.com/AvinashReddyKatha/Rasa-Demo;0;1;2024-08-07T15:39:52Z;2024-12-19T17:35:31Z;2024-12-19T17:35:28Z;main;AvinashReddyKatha;143092888;User;False;;5938ac45a0f93911efdd0b1782afcf7ce7b207a6;[]
tavantzish/ReqGenie-CALM-RASA;https://github.com/tavantzish/ReqGenie-CALM-RASA;0;0;2024-10-14T18:48:02Z;2024-10-23T08:02:21Z;2024-10-23T08:02:17Z;main;tavantzish;64533399;User;False;;2fdd30a9df798ca306ae80e647556bf8beb8f3c6;[]
habibaasaber/VO-Chatbot;https://github.com/habibaasaber/VO-Chatbot;0;0;2024-09-12T22:11:22Z;2024-09-17T09:06:26Z;2024-09-17T09:06:22Z;testing;habibaasaber;174694112;User;False;;4a96383fab86075d026b844ec5d18ed8013b4b50;[]
ThanhHung2112/Courssistant;https://github.com/ThanhHung2112/Courssistant;1;1;2024-05-01T10:35:21Z;2024-09-05T08:31:13Z;2024-09-05T08:31:11Z;main;ThanhHung2112;73764342;User;False;;ca81380caead0d6cde6088104f033e406acb7a46;[]
be-great/chat_bot;https://github.com/be-great/chat_bot;1;0;2024-06-14T16:46:34Z;2024-07-14T20:35:44Z;2024-06-15T19:24:40Z;main;be-great;78013422;User;False;;1e22a662f37e3fbefa20b84dc24e353415ff3049;[]
manulthanura/Chatbot-with-Rasa-and-Python;https://github.com/manulthanura/Chatbot-with-Rasa-and-Python;1;0;2024-05-20T05:06:33Z;2024-06-14T15:56:14Z;2024-05-22T03:32:08Z;main;manulthanura;91767649;User;False;;e5e6ff4d8eae15abc3feeb26a50fa7e68e634646;[]
ranjeetsps/rasa_chatbot;https://github.com/ranjeetsps/rasa_chatbot;0;1;2023-12-01T13:17:28Z;2024-10-08T05:25:12Z;2024-03-14T11:20:53Z;main;ranjeetsps;52485961;User;False;;57b37d505175bec7466b69cdb1f46d91233a6215;[]
malikusman1115/chatbot_estate_agent;https://github.com/malikusman1115/chatbot_estate_agent;0;0;2024-03-08T07:13:24Z;2024-03-08T07:19:15Z;2024-03-08T07:22:51Z;main;malikusman1115;52341464;User;False;;adf8cb2977377621f30670677394f21d21264b6a;[]
prat459/rasa-chatbot;https://github.com/prat459/rasa-chatbot;0;0;2024-02-18T11:14:25Z;2024-02-18T11:56:34Z;2024-02-18T11:56:31Z;main;prat459;141496777;User;False;;b99ed613f687bc2703f50d6a6ad715bf3b510439;[]
itsmeeeeeee/chatbot_rasa;https://github.com/itsmeeeeeee/chatbot_rasa;0;0;2023-12-04T09:34:42Z;2024-01-10T10:33:25Z;2023-12-26T13:50:59Z;main;itsmeeeeeee;96257594;User;False;;ff9ee0bc8eefecd1cbf82f6992641796d821493a;[]
pedromasi/Chatbot;https://github.com/pedromasi/Chatbot;0;0;2023-07-25T13:33:36Z;2023-12-13T17:37:25Z;2023-12-13T17:37:19Z;main;pedromasi;54449463;User;False;;b2e172cf755e52433e98789cdc2da2cc94bcdf62;[]
Hrithiman2004Guha/Event_Bot-RASA_2023;https://github.com/Hrithiman2004Guha/Event_Bot-RASA_2023;0;1;2023-10-26T05:24:52Z;2023-10-26T05:26:22Z;2023-10-27T09:13:24Z;main;Hrithiman2004Guha;125036827;User;False;;f3337126d84e743f9fc00920f9812275fd9f063a;[]
