full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type
Yomi-brenda/Chatebot;https://github.com/Yomi-brenda/Chatebot;0;0;2024-11-25T15:42:52Z;2024-11-25T15:42:52Z;2024-11-25T15:42:52Z;main;Yomi-brenda;169000905;User
Khoawawa/car-cs-chatbot-with-rasa-and-streamlit;https://github.com/Khoawawa/car-cs-chatbot-with-rasa-and-streamlit;0;0;2024-11-20T04:41:03Z;2024-11-20T04:41:03Z;2024-11-20T04:41:03Z;main;Khoawawa;145202973;User
AhmetUnuvar/Rasa-Chatbot-Aygaz;https://github.com/AhmetUnuvar/Rasa-Chatbot-Aygaz;0;0;2024-11-18T19:32:38Z;2024-11-18T19:32:38Z;2024-11-18T19:32:38Z;main;AhmetUnuvar;95508776;User
SpringMuch/Rasa-Noob;https://github.com/SpringMuch/Rasa-Noob;0;0;2024-11-04T09:09:38Z;2024-11-04T09:09:38Z;2024-11-04T09:09:38Z;main;SpringMuch;169158055;User
rafaelwollace/chatbot;https://github.com/rafaelwollace/chatbot;0;0;2024-10-26T02:01:22Z;2024-10-26T02:01:22Z;2024-10-26T02:01:22Z;main;rafaelwollace;3629901;User
sougo3623/rasa-chatbot;https://github.com/sougo3623/rasa-chatbot;0;0;2024-10-22T05:25:40Z;2024-10-22T05:25:40Z;2024-10-22T05:25:40Z;main;sougo3623;185882380;User
cabrellKana/Rasa_NLU_Chatbot;https://github.com/cabrellKana/Rasa_NLU_Chatbot;0;0;2024-10-21T21:40:25Z;2024-10-21T21:40:26Z;2024-10-21T21:40:26Z;main;cabrellKana;173369706;User
ducankk4/rasa_chatbot;https://github.com/ducankk4/rasa_chatbot;0;0;2024-10-14T11:22:12Z;2024-10-14T11:22:12Z;2024-10-14T11:22:12Z;main;ducankk4;151956807;User
Sanika347/my-rasa-chatbot;https://github.com/Sanika347/my-rasa-chatbot;0;0;2024-10-12T09:06:58Z;2024-10-12T09:10:05Z;2024-10-12T09:06:58Z;main;Sanika347;122077194;User
Jasmin-Mae-G-Mamon/RASA_CHAT2;https://github.com/Jasmin-Mae-G-Mamon/RASA_CHAT2;0;0;2024-10-07T12:55:30Z;2024-10-07T12:55:30Z;2024-10-07T12:55:30Z;main;Jasmin-Mae-G-Mamon;112666992;User
almaalt/chatbot-ppks;https://github.com/almaalt/chatbot-ppks;0;0;2024-10-02T22:57:47Z;2024-10-02T22:57:47Z;2024-10-02T22:57:47Z;main;almaalt;66728532;User
Indranil102/MindMate;https://github.com/Indranil102/MindMate;1;0;2024-09-30T09:32:45Z;2024-10-07T10:11:27Z;2024-10-01T10:43:52Z;main;Indranil102;115712973;User
rohitbeniwal01/Banking-chatbot-using-rasa;https://github.com/rohitbeniwal01/Banking-chatbot-using-rasa;0;0;2024-09-22T16:00:33Z;2024-09-22T16:00:34Z;2024-09-22T16:00:34Z;main;rohitbeniwal01;182370286;User
nguyenphuctien4865/E-commerce-with-Rasa-chatbot;https://github.com/nguyenphuctien4865/E-commerce-with-Rasa-chatbot;0;0;2024-09-09T07:49:39Z;2024-09-26T06:20:07Z;2024-09-09T07:49:39Z;main;nguyenphuctien4865;59163718;User
7onc3k/chatbot_rasa_digitalfusion;https://github.com/7onc3k/chatbot_rasa_digitalfusion;0;0;2024-08-14T09:16:19Z;2024-08-14T09:16:20Z;2024-08-14T09:16:20Z;main;7onc3k;51455260;User
BasitAzizRajput/rasaChatbot;https://github.com/BasitAzizRajput/rasaChatbot;0;0;2024-08-12T10:25:43Z;2024-08-12T10:25:43Z;2024-08-12T10:25:43Z;main;BasitAzizRajput;130133050;User
Prateekbhatt01/rasas-chatbot;https://github.com/Prateekbhatt01/rasas-chatbot;0;0;2024-08-10T07:38:42Z;2024-08-10T07:38:43Z;2024-08-10T07:38:43Z;main;Prateekbhatt01;166580172;User
RuchaRudrabhate/RasaChatbotForUniversity;https://github.com/RuchaRudrabhate/RasaChatbotForUniversity;0;0;2024-07-23T18:21:50Z;2024-07-23T18:21:51Z;2024-07-23T18:21:51Z;main;RuchaRudrabhate;97243207;User
Jeeya-Inamdar/Rasa-ChatBot;https://github.com/Jeeya-Inamdar/Rasa-ChatBot;0;0;2024-07-14T07:19:36Z;2024-07-14T07:19:36Z;2024-07-14T07:19:36Z;main;Jeeya-Inamdar;129672572;User
SeniorBigotes/chatbot-rasa;https://github.com/SeniorBigotes/chatbot-rasa;0;0;2024-07-08T02:58:50Z;2024-07-08T02:58:50Z;2024-07-08T02:58:50Z;main;SeniorBigotes;86330123;User
