full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent
ameesha12345/Rasa-Dynamic-chatbot;https://github.com/ameesha12345/Rasa-Dynamic-chatbot;0;0;2025-01-10T10:12:26Z;2025-01-10T10:12:26Z;2025-01-10T10:12:26Z;main;ameesha12345;171430266;User;False;
mylyyyyy/Chatbot-Rasa;https://github.com/mylyyyyy/Chatbot-Rasa;0;0;2025-01-08T10:04:37Z;2025-01-08T10:04:37Z;2025-01-08T10:04:37Z;main;mylyyyyy;93071012;User;False;
MichalWilk45/RasaChatbot;https://github.com/MichalWilk45/RasaChatbot;0;0;2024-12-21T17:01:37Z;2024-12-21T17:01:37Z;2024-12-21T17:01:37Z;main;MichalWilk45;98054070;User;False;
NeelimaPamarthi/chatbot-rasa;https://github.com/NeelimaPamarthi/chatbot-rasa;0;0;2024-12-21T10:17:01Z;2024-12-21T10:17:02Z;2024-12-21T10:17:02Z;main;NeelimaPamarthi;45457890;User;False;
sjake12/dms-chatbot;https://github.com/sjake12/dms-chatbot;0;0;2024-12-17T01:34:23Z;2024-12-17T01:34:23Z;2024-12-17T01:34:23Z;main;sjake12;134672864;User;False;
Yomi-brenda/Chatebot;https://github.com/Yomi-brenda/Chatebot;0;0;2024-11-25T15:42:52Z;2024-11-25T15:42:52Z;2024-11-25T15:42:52Z;main;Yomi-brenda;169000905;User;False;
Khoawawa/car-cs-chatbot-with-rasa-and-streamlit;https://github.com/Khoawawa/car-cs-chatbot-with-rasa-and-streamlit;0;0;2024-11-20T04:41:03Z;2024-11-20T04:41:03Z;2024-11-20T04:41:03Z;main;Khoawawa;145202973;User;False;
AhmetUnuvar/Rasa-Chatbot-Aygaz;https://github.com/AhmetUnuvar/Rasa-Chatbot-Aygaz;0;0;2024-11-18T19:32:38Z;2024-11-18T19:32:38Z;2024-11-18T19:32:38Z;main;AhmetUnuvar;95508776;User;False;
SpringMuch/Rasa-Noob;https://github.com/SpringMuch/Rasa-Noob;0;0;2024-11-04T09:09:38Z;2024-11-04T09:09:38Z;2024-11-04T09:09:38Z;main;SpringMuch;169158055;User;False;
rafaelwollace/chatbot;https://github.com/rafaelwollace/chatbot;0;0;2024-10-26T02:01:22Z;2024-10-26T02:01:22Z;2024-10-26T02:01:22Z;main;rafaelwollace;3629901;User;False;
