full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-files;n-domain-files
FRZWLF/AI-assisted_voice_assistant;https://github.com/FRZWLF/AI-assisted_voice_assistant;0;0;2024-10-23T13:14:18Z;2025-01-13T07:23:16Z;2025-01-13T07:23:12Z;master;FRZWLF;42942759;User;51e5dfe31121e35c907ca0846236513e4a6095c5;2025-01-13T07:23:12Z;[];0
buerokratt/Training-Module;https://github.com/buerokratt/Training-Module;2;22;2022-07-06T23:23:02Z;2024-10-29T13:49:05Z;2025-01-14T13:58:31Z;dev;buerokratt;91940340;Organization;60670d0aa25c99c25fc0ff303d95e1236af591d5;2024-10-29T13:49:01Z;[];0
habibaasaber/VO-Chatbot;https://github.com/habibaasaber/VO-Chatbot;0;0;2024-09-12T22:11:22Z;2024-09-17T09:06:26Z;2024-09-17T09:06:22Z;testing;habibaasaber;174694112;User;4a96383fab86075d026b844ec5d18ed8013b4b50;2024-09-16T15:56:47Z;[];0
manulthanura/Chatbot-with-Rasa-and-Python;https://github.com/manulthanura/Chatbot-with-Rasa-and-Python;1;0;2024-05-20T05:06:33Z;2024-06-14T15:56:14Z;2024-05-22T03:32:08Z;main;manulthanura;91767649;User;e5e6ff4d8eae15abc3feeb26a50fa7e68e634646;2024-05-22T03:31:32Z;[];0
ranjeetsps/rasa_chatbot;https://github.com/ranjeetsps/rasa_chatbot;0;1;2023-12-01T13:17:28Z;2024-10-08T05:25:12Z;2024-03-14T11:20:53Z;main;ranjeetsps;52485961;User;57b37d505175bec7466b69cdb1f46d91233a6215;2024-03-14T11:18:30Z;[];0
itsmeeeeeee/chatbot_rasa;https://github.com/itsmeeeeeee/chatbot_rasa;0;0;2023-12-04T09:34:42Z;2024-01-10T10:33:25Z;2023-12-26T13:50:59Z;main;itsmeeeeeee;96257594;User;ff9ee0bc8eefecd1cbf82f6992641796d821493a;2023-12-26T13:50:58Z;[];0
pedromasi/Chatbot;https://github.com/pedromasi/Chatbot;0;0;2023-07-25T13:33:36Z;2023-12-13T17:37:25Z;2023-12-13T17:37:19Z;main;pedromasi;54449463;User;b2e172cf755e52433e98789cdc2da2cc94bcdf62;2023-12-13T17:37:19Z;[];0
Hrithiman2004Guha/Event_Bot-RASA_2023;https://github.com/Hrithiman2004Guha/Event_Bot-RASA_2023;0;1;2023-10-26T05:24:52Z;2023-10-26T05:26:22Z;2023-10-27T09:13:24Z;main;Hrithiman2004Guha;125036827;User;f3337126d84e743f9fc00920f9812275fd9f063a;2023-10-27T09:13:24Z;[];0
AdvantageCommunity/RASA-BOT;https://github.com/AdvantageCommunity/RASA-BOT;0;2;2023-08-19T17:43:39Z;2023-11-20T02:10:05Z;2023-08-21T15:38:23Z;main;AdvantageCommunity;138849881;Organization;898c0ec1f9332bf2e660729ac6c248ad2cbb5de1;2023-08-21T15:38:23Z;[];0
leonammeta8154/LEON_TEST;https://github.com/leonammeta8154/LEON_TEST;0;0;2020-04-17T20:10:05Z;2020-04-22T19:10:52Z;2023-07-23T12:20:02Z;master;leonammeta8154;32780262;User;73345e9895729b4bc7a255eac532c6ec70f9bc84;2020-04-22T19:10:49Z;[];0
angelomauro10/RASA-chatbot;https://github.com/angelomauro10/RASA-chatbot;0;0;2023-05-10T02:39:12Z;2023-05-31T23:47:13Z;2023-07-16T19:45:50Z;main;angelomauro10;47904849;User;19b6325c9c542e01b8f90dfcb722824696b0c0db;2023-07-16T19:45:50Z;[];0
luiscoto/RASA_ChatBot;https://github.com/luiscoto/RASA_ChatBot;0;0;2023-07-10T14:52:23Z;2023-07-10T14:53:30Z;2023-07-10T14:53:27Z;main;luiscoto;81122669;User;45b580b4898a37e781f514439a8a8a6263583b48;2023-07-10T14:53:26Z;[];0
JaiBharath-1052/modefin_rasa;https://github.com/JaiBharath-1052/modefin_rasa;1;0;2023-04-21T03:30:04Z;2023-12-18T13:47:40Z;2023-06-18T04:50:13Z;main;JaiBharath-1052;62696974;User;4a4327de700624bc885cf27b34b3839d2d00a84e;2023-06-18T04:50:13Z;[];0
karim-aloulou/Espitchatbot-RASA-RAVEN;https://github.com/karim-aloulou/Espitchatbot-RASA-RAVEN;13;1;2023-04-22T22:46:05Z;2024-03-13T00:05:26Z;2023-05-19T18:05:42Z;RWKV-4-Raven;karim-aloulou;80290610;User;889670fabe38702f65a79542b9918ae09d991ffd;2023-05-19T17:29:47Z;[];0
MonikaLukowska-3city/ChatBot;https://github.com/MonikaLukowska-3city/ChatBot;0;0;2023-03-19T16:47:47Z;2023-03-19T16:49:07Z;2023-04-26T17:12:25Z;main;MonikaLukowska-3city;53968964;User;5d72d16c3eba3b5b01728a3e35909ccdb3d34496;2023-04-26T17:12:19Z;[];0
peiisme/chatbot_rasa;https://github.com/peiisme/chatbot_rasa;1;1;2023-03-13T13:08:47Z;2023-04-18T03:34:22Z;2023-04-01T04:39:42Z;master;peiisme;86295675;User;78604ca1938e01e91535e0891d2fa96179cac3b3;2023-04-01T04:32:32Z;[];0
Prathyusha-96/Rasa_Covid_Chatbot;https://github.com/Prathyusha-96/Rasa_Covid_Chatbot;0;0;2022-12-27T04:45:36Z;2022-12-27T04:48:23Z;2022-12-27T04:48:19Z;master;Prathyusha-96;89379190;User;d5a5a4b7c0ea2d6e94300fc53cbb1fe6b5f1cc3f;2022-12-27T04:47:42Z;[];0
RahulGopinath31/GROUP_5_FINAL_PROJECT;https://github.com/RahulGopinath31/GROUP_5_FINAL_PROJECT;0;0;2022-11-16T13:56:58Z;2022-11-16T14:13:28Z;2022-11-16T14:13:23Z;main;RahulGopinath31;36799286;User;21c3fb311614bead260abad43eea13a33bf301c9;2022-11-16T14:13:23Z;[];0
sandhyagirish12/RASABOT_Project;https://github.com/sandhyagirish12/RASABOT_Project;0;0;2022-11-01T13:05:11Z;2022-11-01T13:06:27Z;2022-11-05T15:32:34Z;Project;sandhyagirish12;110160187;User;f3e12f2422961511422f8c14adb1266412afc4c5;2022-11-05T15:32:20Z;[];0
Hussain0520/Chatbot-for-diet-analysis;https://github.com/Hussain0520/Chatbot-for-diet-analysis;0;0;2022-09-10T16:01:36Z;2022-09-10T16:03:48Z;2022-09-10T16:03:45Z;main;Hussain0520;61119242;User;67a40514341a258e1d5c1add60c115aabbd1ffab;2022-09-10T16:03:28Z;[];0
aexae-h/rasa_chatbot2;https://github.com/aexae-h/rasa_chatbot2;0;0;2022-05-02T12:50:10Z;2022-05-02T13:05:03Z;2022-05-02T13:06:38Z;master;aexae-h;36262567;User;80f90c4e71e1c4e476f07751cab1aa19f72d8cad;2022-05-02T13:04:41Z;[];0
aexae-h/rasa_chatbot;https://github.com/aexae-h/rasa_chatbot;0;0;2022-05-02T12:41:07Z;2022-05-02T12:44:42Z;2022-05-02T12:47:28Z;main;aexae-h;36262567;User;14728c527b1051f9283e486281ef059137fda311;2022-05-02T12:42:33Z;[];0
mahirt1228/chatbot-for-diet-analysis;https://github.com/mahirt1228/chatbot-for-diet-analysis;1;0;2022-04-19T04:47:31Z;2022-04-19T05:59:24Z;2022-04-25T07:40:25Z;main;mahirt1228;103981795;User;3d26e82c073cf7e7c70d2c592da602251b5831f7;2022-04-25T07:40:25Z;[];0
