id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
digiteinfotech/kairon__template/use-cases/GPT-FAQ;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2020-04-16T10:46:06Z;2025-01-14T10:45:44Z;2025-01-14T10:45:39Z;master;digiteinfotech;63786695;Organization;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;2025-01-14T10:45:39Z;template/use-cases/GPT-FAQ;['template/use-cases/GPT-FAQ/domain.yml'];1;['template/use-cases/GPT-FAQ/data/nlu.yml'];1;[];0;['README.md'];1;['template/use-cases/GPT-FAQ/config.yml'];1;['kairon/actions/definitions/google.py', 'kairon/actions/definitions/web_search.py', 'kairon/actions/definitions/prompt.py', 'kairon/actions/definitions/live_agent.py', 'kairon/shared/actions/utils.py', 'kairon/actions/definitions/form_validation.py', 'kairon/actions/definitions/razorpay.py', 'kairon/actions/definitions/set_slot.py', 'kairon/actions/definitions/two_stage_fallback.py', 'kairon/actions/definitions/zendesk.py', 'kairon/shared/actions/data_objects.py', 'kairon/actions/definitions/schedule.py', 'kairon/actions/handlers/action.py', 'kairon/actions/definitions/base.py', 'kairon/actions/definitions/http.py', 'kairon/actions/definitions/jira.py', 'kairon/actions/definitions/email.py', 'kairon/shared/actions/exception.py', 'kairon/actions/definitions/bot_response.py', 'kairon/actions/definitions/pipedrive.py', 'kairon/actions/definitions/pyscript.py', 'kairon/actions/definitions/hubspot.py', 'kairon/actions/definitions/database.py', 'kairon/actions/definitions/callback_action.py', 'kairon/actions/definitions/factory.py', 'kairon/chat/actions.py', 'kairon/actions/server.py', 'kairon/actions/handlers/processor.py', 'template/config/contextual.yml', 'template/config/gpt-faq.yml', 'template/config/kairon-default.yml', 'template/config/long-answer.yml', 'template/config/openai-classifier.yml', 'template/config/openai-featurizer.yml', 'template/config/rasa-default.yml']
digiteinfotech/kairon__template/use-cases/Hi-Hello;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2020-04-16T10:46:06Z;2025-01-14T10:45:44Z;2025-01-14T10:45:39Z;master;digiteinfotech;63786695;Organization;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;2025-01-14T10:45:39Z;template/use-cases/Hi-Hello;['template/use-cases/Hi-Hello/domain.yml'];1;['template/use-cases/Hi-Hello/data/nlu.yml'];1;[];0;['README.md'];1;['template/use-cases/Hi-Hello/config.yml'];1;[]
digiteinfotech/kairon__template/use-cases/Covid-19;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2020-04-16T10:46:06Z;2025-01-14T10:45:44Z;2025-01-14T10:45:39Z;master;digiteinfotech;63786695;Organization;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;2025-01-14T10:45:39Z;template/use-cases/Covid-19;['template/use-cases/Covid-19/domain.yml'];1;['template/use-cases/Covid-19/data/nlu.yml'];1;[];0;['README.md'];1;['template/use-cases/Covid-19/config.yml'];1;[]
digiteinfotech/kairon__template/use-cases/Hi-Hello-GPT;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2020-04-16T10:46:06Z;2025-01-14T10:45:44Z;2025-01-14T10:45:39Z;master;digiteinfotech;63786695;Organization;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;2025-01-14T10:45:39Z;template/use-cases/Hi-Hello-GPT;['template/use-cases/Hi-Hello-GPT/domain.yml'];1;['template/use-cases/Hi-Hello-GPT/data/nlu.yml'];1;[];0;['README.md'];1;['template/use-cases/Hi-Hello-GPT/config.yml'];1;[]
digiteinfotech/kairon__template/use-cases/CTS;digiteinfotech/kairon;https://github.com/digiteinfotech/kairon;256;80;2020-04-16T10:46:06Z;2025-01-14T10:45:44Z;2025-01-14T10:45:39Z;master;digiteinfotech;63786695;Organization;2f51174547ffbc56d1dd4c859f32103e2b48f3c0;2025-01-14T10:45:39Z;template/use-cases/CTS;['template/use-cases/CTS/domain.yml'];1;['template/use-cases/CTS/data/nlu.yml'];1;[];0;['README.md'];1;['template/use-cases/CTS/config.yml'];1;[]
RasaHQ/rasa__examples/e2ebot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;examples/e2ebot;['examples/e2ebot/domain.yml'];1;['examples/e2ebot/data/nlu.yml'];1;[];0;['README.md'];1;['examples/e2ebot/config.yml'];1;['data/examples/rasa/demo-rasa-multi-intent.yml', 'data/examples/rasa/demo-rasa.json', 'data/examples/rasa/demo-rasa.yml', 'data/rasa_yaml_examples/nlu.yml', 'data/configs_for_docs/config_featurizers.yml', 'data/configs_for_docs/default_config.yml', 'data/configs_for_docs/default_english_config.yml', 'data/configs_for_docs/default_spacy_config.yml', 'data/configs_for_docs/example_for_suggested_config.yml', 'data/configs_for_docs/example_for_suggested_config_after_train.yml', 'data/configs_for_docs/pretrained_embeddings_convert_config.yml', 'data/configs_for_docs/pretrained_embeddings_mitie_config_1.yml', 'data/configs_for_docs/pretrained_embeddings_mitie_config_2.yml', 'data/configs_for_docs/pretrained_embeddings_spacy_config.yml', 'data/configs_for_docs/supervised_embeddings_config.yml', 'data/examples/dialogflow/agent.json', 'docker/configs/config_pretrained_embeddings_mitie.yml', 'docker/configs/config_pretrained_embeddings_spacy_de.yml', 'docker/configs/config_pretrained_embeddings_spacy_en.yml', 'docker/configs/config_pretrained_embeddings_spacy_en_duckling.yml', 'docker/configs/config_pretrained_embeddings_spacy_it.yml', '.github/templates/README.md', 'changelog/README.md', 'data/README.md', 'docs/README.md']
RasaHQ/rasa__examples/moodbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;examples/moodbot;['examples/moodbot/domain.yml'];1;['examples/moodbot/data/nlu.yml'];1;[];0;['README.md', 'examples/moodbot/README.md'];2;['examples/moodbot/config.yml'];1;[]
RasaHQ/rasa__examples/reminderbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;examples/reminderbot;['examples/reminderbot/domain.yml'];1;['examples/reminderbot/data/nlu.yml'];1;['examples/reminderbot/actions/actions.py'];1;['README.md', 'examples/reminderbot/README.md'];2;['examples/reminderbot/config.yml'];1;[]
RasaHQ/rasa__examples/formbot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;examples/formbot;['examples/formbot/domain.yml'];1;['examples/formbot/data/nlu.yml'];1;['examples/formbot/actions/actions.py'];1;['README.md', 'examples/formbot/README.md'];2;['examples/formbot/config.yml'];1;[]
RasaHQ/rasa__examples/knowledgebasebot;RasaHQ/rasa;https://github.com/RasaHQ/rasa;19195;4668;2016-10-14T12:27:49Z;2025-01-14T14:22:18Z;2025-01-14T10:29:54Z;3.6.x;RasaHQ;21214473;Organization;d6829b6acc10fd9548798176bb0f9713107c1555;2025-01-14T10:26:14Z;examples/knowledgebasebot;['examples/knowledgebasebot/domain.yml'];1;['examples/knowledgebasebot/data/nlu.yml'];1;['examples/knowledgebasebot/actions/actions.py'];1;['README.md', 'examples/knowledgebasebot/README.md'];2;['examples/knowledgebasebot/config.yml'];1;[]
