full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;is-fork;fork-parent;last-commit
aiforthewin22/chat;https://github.com/aiforthewin22/chat;0;0;2025-01-13T18:58:23Z;2025-01-13T18:58:37Z;2025-01-13T18:58:35Z;main;aiforthewin22;194822139;User;False;;244225e723c05c59c0bd93e8ad593518ed524554
aiforthewin22/sdfa;https://github.com/aiforthewin22/sdfa;0;0;2025-01-13T17:00:57Z;2025-01-13T17:01:11Z;2025-01-13T17:01:10Z;main;aiforthewin22;194822139;User;False;;68f71fff3c76b64353234f171d8d0f2f9599211a
Seifeddin-tlijani/IoT-based-Healthcare-with-AI-Chatbot-and-AWS;https://github.com/Seifeddin-tlijani/IoT-based-Healthcare-with-AI-Chatbot-and-AWS;0;0;2025-01-13T13:41:32Z;2025-01-13T13:51:13Z;2025-01-13T13:51:08Z;main;Seifeddin-tlijani;114825087;User;False;;0f23d6b42bc9c2f156828a4cf567c8436256f9ce
trupti2110/End_to_end_dataScience_codTech;https://github.com/trupti2110/End_to_end_dataScience_codTech;0;0;2025-01-13T12:03:08Z;2025-01-13T12:04:41Z;2025-01-13T12:04:37Z;main;trupti2110;105933640;User;False;;113ee84b653eeb9dd50b7b2200f0e51f891645cd
HOSCAU/support-chatbot;https://github.com/HOSCAU/support-chatbot;0;0;2025-01-13T09:20:43Z;2025-01-13T09:22:35Z;2025-01-13T09:22:32Z;main;HOSCAU;139953936;User;False;;13f05a206c4b5ea89729a009aa11435e57e35599
flobotde/fastapi-neomodel;https://github.com/flobotde/fastapi-neomodel;0;0;2025-01-11T11:26:38Z;2025-01-11T16:03:57Z;2025-01-11T16:03:54Z;main;flobotde;758676;User;False;;29ae38c2077282afec8cb928dcc842c1a5b88578
Ndcas/Chatbot;https://github.com/Ndcas/Chatbot;0;0;2024-12-27T13:34:16Z;2025-01-11T12:41:37Z;2025-01-11T12:41:29Z;main;Ndcas;141720547;User;False;;dd993c41a2561e3c46fa8262e6b77af0a9323186
nexusMAKO1/chatbot;https://github.com/nexusMAKO1/chatbot;0;0;2025-01-05T17:44:04Z;2025-01-06T10:50:02Z;2025-01-06T10:58:00Z;main;nexusMAKO1;93985031;User;False;;6045ceb4e65ed82f77197dc58da584b838e46185
ammar-y62/Marketplace_Chatbot;https://github.com/ammar-y62/Marketplace_Chatbot;0;0;2024-12-08T11:20:05Z;2025-01-01T09:51:14Z;2025-01-01T09:51:11Z;master;ammar-y62;86868318;User;False;;5df70179d506fc51abc48a9566323fc40a7260f7
Tanwar-12/Tanwar-12;https://github.com/Tanwar-12/Tanwar-12;11;1;2023-04-22T04:03:26Z;2025-01-01T05:13:30Z;2025-01-01T05:13:26Z;main;Tanwar-12;110081008;User;False;;d946ec608ce2e6c285d1def7f5ca1915ac96b775
Mega-Zinyz/chatbot_messpemda;https://github.com/Mega-Zinyz/chatbot_messpemda;0;0;2024-12-19T14:20:55Z;2024-12-19T14:21:01Z;2024-12-19T14:20:56Z;main;Mega-Zinyz;109564254;User;False;;c2d8b806b6b8d38f76312f504cbb87604508f4e6
Nivas-Sivakumar/Portfolio;https://github.com/Nivas-Sivakumar/Portfolio;0;0;2024-12-09T15:33:25Z;2024-12-09T16:24:25Z;2024-12-09T16:24:22Z;main;Nivas-Sivakumar;190122813;User;False;;3cd7554d5f6fe3912ed9e7eb1f5080d1faa5c1ce
RehanNaveid/Prompt-Exp-5;https://github.com/RehanNaveid/Prompt-Exp-5;0;0;2024-11-19T16:19:28Z;2024-11-20T01:09:06Z;2024-11-20T01:09:03Z;main;RehanNaveid;119671994;User;False;;e4da259f6be272db46e6506f567045ca4557f4c6
Abhinaykotla/Emotionally-Intelligent-Chatbot;https://github.com/Abhinaykotla/Emotionally-Intelligent-Chatbot;2;0;2024-11-12T07:27:04Z;2024-12-17T09:16:04Z;2024-11-12T07:29:15Z;main;Abhinaykotla;88133133;User;False;;2afcd04a1f389a53d38e713b72dfd391a4c85ba3
neil-toscano/chat_bot_rasa;https://github.com/neil-toscano/chat_bot_rasa;0;0;2024-10-26T13:07:02Z;2024-10-26T13:19:12Z;2025-01-07T20:49:25Z;main;neil-toscano;75841666;User;False;;0b6cac10aa0edc9a2db1ac33880e38a882d72347
NewbieShubham/DostChat;https://github.com/NewbieShubham/DostChat;0;0;2024-09-22T07:00:43Z;2024-09-22T09:22:28Z;2024-09-22T09:22:25Z;main;NewbieShubham;113912345;User;False;;049a9bfc5098243128bce9a938d0879a24f8ece9
janjiang005/Rasa-Intelligent-Customer-Service;https://github.com/janjiang005/Rasa-Intelligent-Customer-Service;0;0;2024-08-12T13:28:42Z;2024-12-02T02:26:23Z;2024-08-12T13:41:52Z;master;janjiang005;135304638;User;False;;6187b94696c61940834ae4c7754ebe6dd6e0b87f
AIAnupSHrestha/PILLAXIA_ChatBot;https://github.com/AIAnupSHrestha/PILLAXIA_ChatBot;0;0;2024-07-10T08:12:07Z;2024-07-12T02:22:50Z;2024-07-10T08:12:07Z;main;AIAnupSHrestha;159003231;User;False;;e62ae86bc44300baedcaa0b212b472bde03bff36
chandrika595/chandrika-;https://github.com/chandrika595/chandrika-;0;0;2024-07-05T06:37:02Z;2024-07-05T06:43:34Z;2024-07-05T06:43:27Z;main;chandrika595;171925763;User;False;;c5a86396a506bd603fd55a7bc93e16d24c809a82
vikas126015/v-front-end;https://github.com/vikas126015/v-front-end;1;0;2024-07-02T06:26:28Z;2024-07-03T12:22:43Z;2024-07-03T12:22:39Z;main;vikas126015;171799426;User;False;;b9174c4cf6a7028757c56872939f02c77878ad72
Kusuma4715/chatbot1;https://github.com/Kusuma4715/chatbot1;0;0;2024-07-03T06:40:11Z;2024-07-03T06:44:35Z;2024-07-03T06:44:31Z;main;Kusuma4715;171799730;User;False;;4c1c70699a80a11c51a25e5aea4d38fa20e47e6d
MYVPrasad/prasad_chatbot;https://github.com/MYVPrasad/prasad_chatbot;0;0;2024-06-13T10:11:45Z;2024-06-18T10:55:15Z;2024-06-18T10:55:11Z;main;MYVPrasad;171799130;User;False;;54261c1a9af769c838ef39acd18f73355e72971a
httpstarL/chatbot;https://github.com/httpstarL/chatbot;0;0;2024-06-15T11:31:47Z;2024-06-15T11:39:20Z;2024-06-15T11:39:16Z;main;httpstarL;171799942;User;False;;44049a481777f9ac5fc375edcb693fe5275cc58c
vikas126015/vikas_chatbot;https://github.com/vikas126015/vikas_chatbot;0;0;2024-06-13T10:03:56Z;2024-06-14T11:58:33Z;2024-06-14T11:58:30Z;main;vikas126015;171799426;User;False;;673516d990306cf1b8e8e0ab7cde2eca788a2efb
OlatunbosunTosin/chatbot;https://github.com/OlatunbosunTosin/chatbot;0;0;2024-06-12T08:28:10Z;2024-06-12T09:50:55Z;2024-06-12T09:50:52Z;main;OlatunbosunTosin;92984392;User;False;;cd47125e5c9f1d66cdabdf527ca027885bf61b27
Omkar07Shukla/omkar-travelling-bot-;https://github.com/Omkar07Shukla/omkar-travelling-bot-;0;0;2024-04-17T16:13:20Z;2024-04-17T16:16:20Z;2024-04-17T16:18:24Z;main;Omkar07Shukla;104619118;User;False;;0bb9c665723a62c610f4c1dac7df686c3ec0bd75
Ayman-amk/ai_project_final;https://github.com/Ayman-amk/ai_project_final;0;0;2024-04-14T20:33:30Z;2024-04-14T21:05:12Z;2024-04-14T21:13:19Z;main;Ayman-amk;83095371;User;False;;d7e9d03d45832d30dcebf49b1e5e3f7f0900f7b1
Mdwaseem2002/Chat-Assistant;https://github.com/Mdwaseem2002/Chat-Assistant;0;0;2024-04-02T11:02:52Z;2024-04-02T11:17:30Z;2024-04-07T10:25:56Z;main;Mdwaseem2002;113375456;User;False;;ffc1ef30a4dde873fea5a856623399ac892df2ec
galudSla/rasa-portfolio-assistant;https://github.com/galudSla/rasa-portfolio-assistant;0;0;2024-02-14T15:06:24Z;2024-02-14T15:09:54Z;2024-02-14T15:09:50Z;main;galudSla;84164764;User;False;;17e602f4b9ccbb366a6f63516fb0f5c148feb806
N-M-Rithwik/rasa-data-vis;https://github.com/N-M-Rithwik/rasa-data-vis;0;0;2023-10-14T05:57:11Z;2023-10-14T06:05:29Z;2023-10-14T06:05:20Z;main;N-M-Rithwik;58677818;User;False;;4ccaaf10989afb6ac4570bd0eaed84a5c50c73be
Navezjt/PI-Rasa-chatbot;https://github.com/Navezjt/PI-Rasa-chatbot;0;0;2023-06-01T20:22:13Z;2023-06-01T21:00:04Z;2023-06-01T20:58:44Z;all_langs;Navezjt;110367357;User;False;;c6d3e6557ec41af92e67b48c41182df0f3e02a69
alan8365/most-chatbot;https://github.com/alan8365/most-chatbot;0;0;2022-09-14T01:56:54Z;2022-09-14T02:00:53Z;2022-11-02T05:54:37Z;main;alan8365;13725948;User;False;;8514d9518c485c6edd93b3af041fea547ecc769b
apt-x4869/WeatherChatbot;https://github.com/apt-x4869/WeatherChatbot;0;0;2019-12-29T15:57:42Z;2019-12-29T17:13:39Z;2019-12-29T17:13:37Z;master;apt-x4869;55894766;User;False;;5fc3211b30f70cb8dae10e3efbb0da7beb502ea3
