id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files
UdiitBansal/Leave-Enquiry;UdiitBansal/Leave-Enquiry;https://github.com/UdiitBansal/Leave-Enquiry;0;0;2024-09-28T18:01:59Z;2024-09-28T18:03:58Z;2024-09-28T18:03:55Z;main;UdiitBansal;122165704;User;a0099eb317e79e1cca4e35cc33da3f699a97a2b7;2024-09-28T18:03:54Z;.;['domain (3).yml', 'domain (1).yml', 'domain (2).yml'];3;['nlu.yml'];1;[];0;['README.md'];1;[];0
lappis-unb/ej-bot;lappis-unb/ej-bot;https://github.com/lappis-unb/ej-bot;0;0;2024-09-25T23:40:26Z;2024-09-25T23:42:34Z;2024-09-25T23:41:58Z;main;lappis-unb;29209446;Organization;1d24b0e1561c03cac35ac0c98df6e5e7f6cba324;2024-09-12T12:50:02Z;bot/domains;['bot/domains/default.yml', 'bot/domains/bp.yml'];2;['bot/data/nlu.yml'];1;['bot/actions/checkers/api_error_checker.py', 'bot/actions/comment_actions.py', 'bot/actions/profile_actions.py', 'bot/actions/checkers/profile_actions_checkers.py', 'bot/actions/help_actions.py', 'bot/actions/checkers/vote_actions_checkers.py', 'bot/actions/logger.py', 'bot/actions/setup_actions.py', 'bot/actions/base_actions.py', 'bot/actions/checkers/setup_actions_checkers.py', 'bot/actions/custom_auth_actions.py', 'bot/actions/vote_actions.py'];12;['README.md'];1;['bot/config.yml'];1
lappis-unb/participatory-bot;lappis-unb/participatory-bot;https://github.com/lappis-unb/participatory-bot;0;0;2024-09-25T23:37:09Z;2024-09-25T23:40:20Z;2024-09-25T23:40:16Z;main;lappis-unb;29209446;Organization;893452279b91c239267a0071e96c099a7bcd857a;2024-04-07T22:32:02Z;bot;['bot/domain.yml', 'bot/old-domain.yml'];2;['bot/data/nlu-chitchat.yml', 'bot/data/nlu-participation.yml', 'bot/data/nlu-response-selectors.yml', 'bot/data/nlu.yml'];4;['bot/actions/custom_action_example.py'];1;['README.md'];1;['bot/config.yml'];1
nikevelik/chatbot-NLP-RAG;nikevelik/chatbot-NLP-RAG;https://github.com/nikevelik/chatbot-NLP-RAG;0;0;2024-09-15T16:50:55Z;2024-09-15T17:04:22Z;2024-09-15T17:04:19Z;main;nikevelik;29057052;User;18cc6e8770b52be132320ff98e9c2f10d5a46155;2024-09-15T17:04:16Z;nl/data/domain;['nl/data/domain/domain_base.yml', 'nl/data/domain/domain_make_bot.yml'];2;['nl/data/nlu/intent_faq.yml', 'nl/data/nlu/nlu_base.yml', 'nl/data/nlu/nlu_make_bot.yml'];3;['ac/actions/query_rag.py', 'ac/actions/actions_base.py', 'ac/actions/actions_asnwer_with_llm.py', 'ac/actions/actions_make_bot.py', 'ac/actions/query_llm.py', 'ac/actions/classes.py'];6;['README.md'];1;['nl/config.yml'];1
Deepam-Rai/social_media_chatbot;Deepam-Rai/social_media_chatbot;https://github.com/Deepam-Rai/social_media_chatbot;0;0;2024-03-26T09:21:55Z;2024-03-27T12:49:55Z;2024-03-30T17:53:58Z;main;Deepam-Rai;78490078;User;6bcba6f338fb1b9b701d1cdbe2ba05681da0b4bf;2024-03-30T17:53:51Z;domain;['domain/domain.yml', 'domain/domain_main_misc.yml'];2;['data/nlu/nlu.yml', 'data/nlu/nlu_jokes.yml'];2;['actions/actions_misc.py', 'actions/constants.py', 'actions/utils.py'];3;['README.md'];1;['config.yml'];1
GerritChatbot/rasa_base;GerritChatbot/rasa_base;https://github.com/GerritChatbot/rasa_base;4;1;2023-04-01T11:13:49Z;2023-07-04T15:04:27Z;2024-02-18T19:40:33Z;main;GerritChatbot;129594534;Organization;b91e1ac4ef52ddd456f435defe447bc4c312b457;2024-02-18T19:40:27Z;domain;['domain/intents.yml', 'domain/healtcare.yml', 'domain/get_buddy.yml', 'domain/sim_card.yml', 'domain/ryanair.yml', 'domain/get_event.yml', 'domain/car_rental.yml', 'domain/social_media.yml', 'domain/buy_esn_card.yml', 'domain/accommodation.yml', 'domain/esn.yml', 'domain/eis.yml', 'domain/office_hours.yml', 'domain/esn_card_benefits.yml', 'domain/food_recommendation.yml'];15;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
MarcoCarraro-1/BetBot;MarcoCarraro-1/BetBot;https://github.com/MarcoCarraro-1/BetBot;0;0;2023-12-06T18:16:40Z;2023-12-06T18:21:57Z;2024-01-05T11:01:29Z;main;MarcoCarraro-1;71838678;User;3993bafc393f6b870948bc21ec60306b68d6e433;2024-01-05T11:00:45Z;.;['domain.yml', 'domain-1.yml'];2;['data/nlu.yml', 'data/reload_amount_converted.yml'];2;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
nvidia-riva/sample-apps;nvidia-riva/sample-apps;https://github.com/nvidia-riva/sample-apps;25;17;2022-04-15T00:14:27Z;2023-12-11T10:45:09Z;2024-12-12T11:34:44Z;main;nvidia-riva;93673946;Organization;f3f31696bfc2aadb5d64ff5601d3f8fa0bdafd72;2022-09-28T16:17:33Z;virtual-assistant-rasa/rasa-weatherbot/domain;['virtual-assistant-rasa/rasa-weatherbot/domain/domain_rasanlp.yml', 'virtual-assistant-rasa/rasa-weatherbot/domain/domain_rivanlp.yml'];2;['virtual-assistant-rasa/rasa-weatherbot/data/nlu_rasanlp.yml', 'virtual-assistant-rasa/rasa-weatherbot/data/nlu_rivanlp.yml'];2;['virtual-assistant-rasa/rasa-weatherbot/actions/actions.py', 'virtual-assistant-rasa/rasa-weatherbot/actions/weather.py'];2;['README.md', 'riva-contact/README.md', 'riva-contact/web/displacy-ent/README.md', 'virtual-assistant-dialogflow/README.md', 'virtual-assistant-dialogflow/dialogflow-riva-weatherbot-webapp/client/webapplication/ui/README.md', 'virtual-assistant-rasa/README.md', 'virtual-assistant-rasa/rasa-riva-weatherbot-webapp/client/webapplication/ui/README.md', 'virtual-assistant/README.md', 'virtual-assistant/client/webapplication/ui/README.md'];9;['virtual-assistant-rasa/rasa-weatherbot/config/config_rasanlp.yml', 'virtual-assistant-rasa/rasa-weatherbot/config/config_rivanlp.yml'];2
Chaimae-El-beqqal/rasa-project;Chaimae-El-beqqal/rasa-project;https://github.com/Chaimae-El-beqqal/rasa-project;1;0;2023-08-20T16:53:14Z;2023-08-31T15:48:10Z;2023-09-18T19:33:41Z;master;Chaimae-El-beqqal;102841184;User;1b68fb28f60b36992d9ddb9c7e2cfa677fba0802;2023-09-18T19:33:41Z;.;['domain.yml', 'output.yml'];2;['data/nlu.yml'];1;[];0;['README.md'];1;['config.yml', 'output.yml'];2
translatorswb/rasa_climate_change_data;translatorswb/rasa_climate_change_data;https://github.com/translatorswb/rasa_climate_change_data;0;0;2023-08-14T10:23:37Z;2023-08-15T09:05:02Z;2023-08-16T09:09:39Z;main;translatorswb;39296527;Organization;5346098310593d26b750fe7de3e1e7cf5db7fac2;2023-08-16T09:09:21Z;domains;['domains/domain_v3.yml', 'domains/domain_v3_for_classifier.yml'];2;['data_nlu/classifier/nlu_data_classifier.yml', 'data_nlu/eng/nlu_data_eng.yml', 'data_nlu/hindi/nlu_data_hindi.yml'];3;[];0;['README.md'];1;[];0
rocaplin/VoltaicSparrow;rocaplin/VoltaicSparrow;https://github.com/rocaplin/VoltaicSparrow;0;0;2023-01-23T18:55:37Z;2023-03-21T00:00:17Z;2023-04-25T16:17:59Z;main;rocaplin;44077014;User;a872b86429a51e2ea6e2354ed1e0aadcc90cabe0;2023-04-25T16:17:59Z;rasa/domain;['rasa/domain/university.yml', 'rasa/domain/domain.yml', 'rasa/domain/computer_science.yml'];3;['rasa/data/computer_science.yml', 'rasa/data/nlu.yml'];2;['rasa/actions/actions.py'];1;['README.md'];1;['rasa/config.yml'];1
MHD-Hamza-Ammar/SportsResultsChatbot;MHD-Hamza-Ammar/SportsResultsChatbot;https://github.com/MHD-Hamza-Ammar/SportsResultsChatbot;0;2;2023-03-18T23:13:46Z;2023-03-18T23:34:49Z;2023-03-25T21:33:58Z;master;MHD-Hamza-Ammar;87787749;User;1b5230074eef83339db150edab2212b3bbd49dd6;2023-03-25T21:33:27Z;src;['src/domain copy.yml', 'src/domain.yml'];2;['src/data/nlu.yml'];1;['src/actions/actions.py'];1;['README.md'];1;['src/config.yml'];1
constructorfleet/rasa-eddie;constructorfleet/rasa-eddie;https://github.com/constructorfleet/rasa-eddie;0;0;2023-02-28T06:39:27Z;2023-02-28T06:52:24Z;2023-02-28T16:37:27Z;main;constructorfleet;49292922;Organization;9d80801132a793fe98e0f4370e9de9ab23edfc86;2023-02-28T16:36:23Z;domain;['domain/domain-food.yml', 'domain/domain-media.yml', 'domain/domain-chitchat.yml'];3;['data/chitchat/nlu.yml', 'data/food/nlu.yml', 'data/media/nlu.yml'];3;['actions/media/plex/library.py', 'actions/media/plex/const.py', 'actions/const.py', 'actions/actions.py', 'actions/config.py', 'actions/utils.py', 'actions/media/const.py'];7;[];0;['config.yml'];1
